
"id","Description <br />(max 150 chars)","Novel <br />(choose)","Not Before<br />yyyy[-mm-dd]","Not After<br />yyyy[-mm-dd]","Duration<br />(days)","Preceding Event <br />(choose)","Explanation <br />(max 500 chars)"
"206","Jason chases Quentin and the band member with the red tie in his car","The Sound and the Fury","1928-04-06","1928-04-07","0","Jason takes Caddy's money, forges a check, and gives it to his mother to burn","Occurs in the section ""April Sixth, 1928."""
"207","Quentin Jr. runs away","The Sound and the Fury","1928-04-07","1928-04-08","0","Jason chases Quentin and the band member with the red tie in his car","The family wakes up the morning of ""April Eighth, 1928."" to find Quentin missing."
"208","The Compsons discover Quentin is missing and Jason discovers his money is missing","The Sound and the Fury","1928-04-08","1928-04-09","0","Quentin Jr. runs away","Occurs in the section ""April Eighth, 1928."""
"209","Dilsey, Frony, and Luster take Benjy to church","The Sound and the Fury","1928-04-08","1928-04-09","0","The Compsons discover Quentin is missing and Jason discovers his money is missing","Occurs in the section ""April Eighth, 1928."""
"210","The sheriff refuses to help Jason","The Sound and the Fury","1928-04-08","1928-04-09","0","Dilsey, Frony, and Luster take Benjy to church","Occurs in the section ""April Eighth, 1928."""
"211","Jason chases Quentin to Mottson and gets in a fight with the man wearing the dirty apron; he learns that Quentin is not there and goes home","The Sound and the Fury","1928-04-08","1928-04-09","0","The sheriff refuses to help Jason","Occurs in the section ""April Eighth, 1928."""
"212","Luster drives Benjy an alternate route in the carriage and Jason attacks Luster","The Sound and the Fury","1928-04-08","1928-04-09","0","Jason chases Quentin to Mottson and gets in a fight with the man wearing the dirty apron; he learns that Quentin is not there and goes home","Occurs in the section ""April Eighth, 1928."""
"213","R Leo receives Bird's letter","Rowan's History of Love","2000-10-17","0000-00-00","1","_CHOOSE AN EVENT",""
"214","Cholly's Mother abandons him","The Bluest Eye","1903-00-00","1904-00-00","1","_NO PRECEDING EVENT","*Story time dates approximated based on limited textual evidence for visualization purposes* ""When Cholly was four days old, his mother wrapped him in two bankets and one newspaper and placed him on a junk heap by the railroad"" (132)"
"215","Aunt Jimmy passes away","The Bluest Eye","1903-00-00","1918-00-00","1","Cholly's Mother abandons him","*Story time dates approximated based on limited textual evidence for visualization purposes*“It was in the spring... that Aunt Jimmy died” (135) “he was fourteen” (154)"
"216","Cholly’s ‘rape’ by White men and the 'almost-rape’ of Darlene","The Bluest Eye","1903-00-00","1918-00-00","1","Aunt Jimmy passes away","*Story time dates approximated based on limited textual evidence for visualization purposes*“It was in the spring... that Aunt Jimmy died” (135) “he was fourteen” (154)"
"217","Cholly goes to find his Dad in Macon, and his Dad rejects him","The Bluest Eye","1903-00-00","1918-00-00","0","Cholly’s ‘rape’ by White men and the 'almost-rape’ of Darlene","*Story time dates approximated based on limited textual evidence for visualization purposes* “It was in the spring... that Aunt Jimmy died” (135) “he was fourteen” (154)"
"218","Pauline and Cholly meet","The Bluest Eye","1918-00-00","1926-00-00","1","Cholly goes to find his Dad in Macon, and his Dad rejects him","“when the war ended Pauline was fifteen” (113), WWI ended in 1918, and Sammy is born in 1926"
"219","Pauline and Cholly get married and move to Lorain, Ohio","The Bluest Eye","1918-00-00","1926-00-00","1","Pauline and Cholly meet","“when the war ended Pauline was fifteen” (113), WWI ended in 1918, and Sammy is born in 1926"
"220","Pauline is 'educated' by the movies","The Bluest Eye","1925-00-00","1926-00-00","0","Pauline and Cholly get married and move to Lorain, Ohio","""There I was, five months pregnant, trying to look like Jean Harlow"" (123)"
"221","Sammy is born","The Bluest Eye","1926-00-00","1926-00-00","1","Pauline is 'educated' by the movies","""Sammy, [is] fourteen years old"" (35) in 1940, as Claudia states ""there were no marigolds in the fall of 1941"" (5) and then picks up the narration from the previous ""Autumn""(7)"
"222","Pecola is born","The Bluest Eye","1929-00-00","1929-00-00","1","Sammy is born","""Pecola, [is] eleven years old""  (35) in 1940, as Claudia states ""there were no marigolds in the fall of 1941"" (5) and then picks up the narration from the previous ""Autumn""(7)"
"223","Pauline starts working for the Fishers","The Bluest Eye","1929-00-00","1940-10-00","1","Pecola is born","After Pecola is born and ""on a Saturday morning in October""(39) Claudia narrates about the Breedloves in the fall of 1940"
"224","Pauline and Cholly fight (about coal)","The Bluest Eye","1940-10-00","1940-10-00","1","Pauline starts working for the Fishers","""on a Saturday morning in October"" (39)"
"225","Pecola prays for blue eyes (each night)","The Bluest Eye","1940-10-00","1940-10-00","0","Pauline and Cholly fight (about coal)","""on a Saturday morning in October""(39)"
"226","Cholly burns down the Breedlove’s house","The Bluest Eye","1940-10-00","1940-12-22","1","Pecola prays for blue eyes (each night)","After the Breedloves fight about coal, but before ""Winter"" (59)"
"227","Mr. Henry moves in with the Macteers","The Bluest Eye","1940-09-22","1940-12-22","1","Cholly burns down the Breedlove’s house","""It was autumn too when Mr. Henry came"" (12)"
"228","Pecola moves in with the Macteers","The Bluest Eye","1940-10-00","1940-12-22","1","Mr. Henry moves in with the Macteers","Pecola moves in around the same time as Mr. Henry: ""Mama had told us two days earlier that a 'case' was coming- a girl who had no place to go"" (16), and it must be after October as the Breedlove's house is still intact in October (39)"
"229","Pecola starts mensturating","The Bluest Eye","1940-10-00","1940-12-22","1","Pecola moves in with the Macteers","Occurs in the period of time Pecola lives with the Macteers and in the section ""Autumn"""
"230","Maureen Peal walks home with Claudia, Frieda, and Pecola","The Bluest Eye","1941-01-01","1941-03-20","1","Pecola starts mensturating","""It was a false spring day, which...pierced the shell of a deadening winter""(64) and occurs in school, so assuming that the girls would've come back after holidays, making it the new year."
"231","Junior tricks Pecola and blames her for killing the cat","The Bluest Eye","1941-03-00","1941-03-00","1","Maureen Peal walks home with Claudia, Frieda, and Pecola","""Outside, the March wind blew into the rip in her dress"" (93)"
"232","Mr. Henry assaults Frieda","The Bluest Eye","1941-03-20","1941-05-05","1","Junior tricks Pecola and blames her for killing the cat","“early spring” (106)"
"233","Pecola knocks over her Mother’s cobbler at the Fisher’s house","The Bluest Eye","1941-03-20","1941-05-05","1","Mr. Henry assaults Frieda","""early spring"" (106)"
"234","Cholly rapes Pecola and impregnates her","The Bluest Eye","1941-03-20","1941-06-21","1","Pecola knocks over her Mother’s cobbler at the Fisher’s house","“in the thin light of spring” (161)"
"235","Pecola asks Soaphead Church for blue eyes","The Bluest Eye","1941-03-20","1941-06-21","1","Cholly rapes Pecola and impregnates her","Occurs in on""one late hot afternoon"" (173) the section ""Spring"""
"236","Cholly passes away","The Bluest Eye","1941-06-22","1941-12-22","1","Pecola asks Soaphead Church for blue eyes","""Cholly died in the workhouse"" (205), has to be after he impregnates Pecola"
"237","Pecola imagines herself a friend","The Bluest Eye","1941-09-01","1941-09-22","0","Cholly passes away","“After the first day of school” (197)"
"238","Pecola loses her baby","The Bluest Eye","1941-09-23","1941-12-22","1","Pecola imagines herself a friend","""[T]here were no marigolds in the fall of 1941"" (5)"
"239","Mr. Bingley comes to Netherfield","Pride and Prejudice","1793-09-29","1793-09-29","1","_CHOOSE AN EVENT",""
"240","Mr. Darcy snubs Elizabeth at the Meryton assembly","Pride and Prejudice","1793-10-21","1793-10-21","1","_CHOOSE AN EVENT",""
"241","Elizabeth goes to Netherfield to care for Jane","Pride and Prejudice","1793-11-14","1793-11-17","4","_CHOOSE AN EVENT",""
"242","Jane goes to Netherfield and gets sick","Pride and Prejudice","1793-11-12","1793-11-12","1","_CHOOSE AN EVENT",""
"243","Elizabeth meets Mr. Wickham","Pride and Prejudice","1793-11-19","1793-11-19","1","_CHOOSE AN EVENT",""
"244","The Ball at Netherfield","Pride and Prejudice","1793-11-26","1793-11-26","1","_CHOOSE AN EVENT",""
"245","Mr. Collins proposes to Elizabeth","Pride and Prejudice","1793-11-27","1793-11-27","1","_CHOOSE AN EVENT",""
"246","The Bingleys leave Netherfield","Pride and Prejudice","1793-11-27","1793-11-28","2","_CHOOSE AN EVENT",""
"247","Mr. Collins gets engaged to Charlotte Lucas","Pride and Prejudice","1793-11-30","1793-11-30","1","_CHOOSE AN EVENT",""
"248","Jane goes to London with the Gardiners","Pride and Prejudice","1793-12-30","1793-05-11","133","_CHOOSE AN EVENT",""
"249","Mr. Collins and Charlotte Lucas get married","Pride and Prejudice","1794-01-09","1794-01-09","1","_CHOOSE AN EVENT",""
"250","Elizabeth visits the Collinses at Hunsford","Pride and Prejudice","1794-03-05","1794-05-10","66","_CHOOSE AN EVENT",""
"251","Mr. Darcy and Colonel Fitzwilliam visit Rosings","Pride and Prejudice","1794-03-23","1794-05-03","40","_CHOOSE AN EVENT",""
"252","Mr. Darcy proposes to Elizabeth","Pride and Prejudice","1794-04-09","1794-05-01","1","_CHOOSE AN EVENT",""
"253","Mr. Darcy explains everything in a letter","Pride and Prejudice","1794-04-10","1794-04-10","1","_CHOOSE AN EVENT",""
"254","Lydia runs away with Mr. Wickham","Pride and Prejudice","1794-07-26","1794-07-27","1","_CHOOSE AN EVENT",""
"255","Elizabeth visits Pemberley","Pride and Prejudice","1794-07-28","1794-08-04","3","_CHOOSE AN EVENT",""
"256","Mr. Darcy settles things between Mr. Wickham and Lydia","Pride and Prejudice","1794-08-08","1794-08-16","3","_CHOOSE AN EVENT",""
"257","Mr. Wickham marries Lydia","Pride and Prejudice","1794-08-25","1794-08-31","1","_CHOOSE AN EVENT",""
"258","Mr. Bingley and Mr. Darcy return to Netherfield","Pride and Prejudice","1794-09-16","1794-12-24","98","_CHOOSE AN EVENT",""
"259","Mr. Bingley and Jane get engaged","Pride and Prejudice","1794-09-26","1794-09-26","1","_CHOOSE AN EVENT",""
"260","Elizabeth and Mr. Darcy get engaged","Pride and Prejudice","1794-12-01","1794-12-24","1","_CHOOSE AN EVENT",""
"261","Double wedding between Elizabeth and Mr. Darcy, Jane and Mr. Bingley","Pride and Prejudice","1794-12-01","1794-12-24","1","_CHOOSE AN EVENT",""
"262","Mr. Darcy's father dies and Mr. Wickham asks for an ""immediate pecuniary advantage, in leiu of the preferment.""","Pride and Prejudice","1789-00-00","1789-00-00","1","_CHOOSE AN EVENT",""
"263","Mr. Wickham returns and asks for the living","Pride and Prejudice","1792-00-00","1792-00-00","1","_CHOOSE AN EVENT",""
"264","Mr. Wickham seduces and attempts to elope with Mr. Darcy's sister","Pride and Prejudice","1793-06-21","1793-09-15","90","_CHOOSE AN EVENT",""
